date,total_tweets
2020-09-30,174
2020-10-01,2725877
2020-10-02,3021983
2020-10-03,3128442
2020-10-04,2897489
2020-10-05,2889362
2020-10-06,3105817
2020-10-07,2863714
2020-10-08,2906850
2020-10-09,2862378
2020-10-10,2838836
2020-10-11,2727724
2020-10-12,2774448
2020-10-13,2782125
2020-10-14,2756225
2020-10-15,2478189
2020-10-16,2857598
2020-10-17,2553423
2020-10-18,2483762
2020-10-19,2501503
2020-10-20,2674853
2020-10-21,2665948
2020-10-22,2443661
2020-10-23,2547714
2020-10-24,2388189
2020-10-25,2366424
2020-10-26,2486874
2020-10-27,2774784
2020-10-28,2605776
2020-10-29,2558665
2020-10-30,2591069
2020-10-31,2533144
